cuidados_thrs,cuidados_thrs_hombres,fac,ingocup,min_year_enoe,max_year_enoe
4,5.96,159,10750,2018,2023
4,3.1133671742808797,329,8600,2018,2023
4,3.1133671742808797,329,7740,2018,2023
32,2,244,13600,2018,2023
10,14,410,12000,2018,2023
17,11.534136546184738,345,10000,2018,2023
14,8,245,24000,2018,2023
10,NA,318,25000,2018,2023
35,10,321,21000,2018,2023
12,8,306,30000,2018,2023
36,9,717,17200,2018,2023
25,14,366,12900,2018,2023
7,NA,41,16000,2018,2023
15,NA,60,16000,2018,2023
43,6.041666666666667,44,9000,2018,2023
44,5.5,178,2000,2018,2023
21,6.023941068139963,265,20000,2018,2023
20,16,149,12000,2018,2023
32,16.36046511627907,140,40000,2018,2023
62,NA,40,7000,2018,2023
0,0,40,9000,2018,2023
32,11.061643835616438,40,8000,2018,2023
18,12.333333333333334,45,18000,2018,2023
38,8,25,5400,2018,2023
23,5.45,34,5590,2018,2023
5,8,31,15000,2018,2023
56,15.632352941176471,35,14000,2018,2023
65,9,37,5000,2018,2023
50,4.545454545454546,50,8000,2018,2023
7,2,54,10000,2018,2023
9,7.5,41,5400,2018,2023
27,8,36,16000,2018,2023
36,34,41,10000,2018,2023
71,10.946188340807176,41,30000,2018,2023
20,2.5,69,4300,2018,2023
14,14,111,16000,2018,2023
18,NA,103,15000,2018,2023
14,3,235,5000,2018,2023
42,NA,178,24000,2018,2023
0,1.7041420118343196,121,19000,2018,2023
35,9.697368421052632,120,18000,2018,2023
17,14,142,16000,2018,2023
18,0,103,6000,2018,2023
29,0,134,20000,2018,2023
4,7,145,10000,2018,2023
11,9,227,30000,2018,2023
54,9,573,12040,2018,2023
16,11.836298932384341,303,8600,2018,2023
80,3.927710843373494,40,10000,2018,2023
5,26.6536312849162,100,56000,2018,2023
14,11.025,57,7000,2018,2023
20,5,43,27000,2018,2023
27,NA,39,10000,2018,2023
8,8.666666666666666,44,10000,2018,2023
13,3.5522388059701493,34,10000,2018,2023
8,14,74,4000,2018,2023
9,4.197231833910035,162,20000,2018,2023
15,4.768041237113402,108,20000,2018,2023
29,1.271523178807947,82,11500,2018,2023
24,31.053731343283584,103,2600,2018,2023
36,15,84,2500,2018,2023
53,3.8273092369477912,91,10000,2018,2023
24,3.6,110,5000,2018,2023
28,19.415730337078653,90,15000,2018,2023
40,21.589285714285715,89,6000,2018,2023
24,0.9357798165137615,68,4500,2018,2023
38,7.172932330827067,75,8000,2018,2023
0,0,108,22000,2018,2023
12,8.139664804469273,92,8400,2018,2023
19,3,97,7000,2018,2023
27,0.9219330855018587,145,16000,2018,2023
52,11.327935222672064,85,6000,2018,2023
25,10.12054794520548,89,20000,2018,2023
27,4,467,8000,2018,2023
10,0,512,3000,2018,2023
38,17,341,30000,2018,2023
21,4.92831541218638,142,12000,2018,2023
6,6.8325,121,10000,2018,2023
12,5,164,6000,2018,2023
45,12,163,11000,2018,2023
10,14.825242718446601,1120,15000,2018,2023
25,NA,1041,8400,2018,2023
38,2.956923076923077,947,17200,2018,2023
16,8,945,5000,2018,2023
0,6.061728395061729,2041,20000,2018,2023
10,4.192143467122118,1274,20000,2018,2023
28,5.82089552238806,60,30000,2018,2023
35,13,90,5000,2018,2023
25,11,95,12000,2018,2023
36,3.0952380952380953,70,8600,2018,2023
40,16.25441696113074,93,9000,2018,2023
6,8.5,207,8000,2018,2023
5,NA,337,10000,2018,2023
14,10,181,16000,2018,2023
7,2.99290780141844,142,8000,2018,2023
4,2.99290780141844,142,8000,2018,2023
0,0,132,9000,2018,2023
21,0,185,9600,2018,2023
294,196,159,8600,2018,2023
19,6,403,14000,2018,2023
29,8.5,1240,10000,2018,2023
20,5.785403996524761,458,4000,2018,2023
55,7,382,2400,2018,2023
55,25.613707165109034,143,12000,2018,2023
52,6.699421965317919,56,12000,2018,2023
30,7,71,12900,2018,2023
17,12,64,15000,2018,2023
23,16.00395256916996,81,7000,2018,2023
24,18.237704918032787,55,30000,2018,2023
4,14,74,20000,2018,2023
9,16.485507246376812,61,12000,2018,2023
16,7.34453781512605,66,9400,2018,2023
29,12.360594795539033,71,17000,2018,2023
50,20,314,10000,2018,2023
28,1.3497604380561259,484,10000,2018,2023
3,4.333682008368201,318,6400,2018,2023
2,10,482,20000,2018,2023
22,11.19047619047619,416,7600,2018,2023
38,16,402,14800,2018,2023
48,9.505016722408026,447,8600,2018,2023
15,6.230088495575221,880,4300,2018,2023
7,5.844455308400554,5291,7000,2018,2023
5,7.277966101694915,1977,3000,2018,2023
13,3.7940552016985136,187,12000,2018,2023
13,5.46925566343042,140,14000,2018,2023
