pea,cuidados_val,weights,cuidados_var_name
No participan en el mercado laboral,0,37426,cuidados_thrs
No participan en el mercado laboral,1,6531,cuidados_thrs
No participan en el mercado laboral,2,17279,cuidados_thrs
No participan en el mercado laboral,3,17117,cuidados_thrs
No participan en el mercado laboral,4,14479,cuidados_thrs
No participan en el mercado laboral,5,18575,cuidados_thrs
No participan en el mercado laboral,6,13102,cuidados_thrs
No participan en el mercado laboral,7,44898,cuidados_thrs
No participan en el mercado laboral,8,16822,cuidados_thrs
No participan en el mercado laboral,9,25539,cuidados_thrs
No participan en el mercado laboral,10,28809,cuidados_thrs
No participan en el mercado laboral,11,7294,cuidados_thrs
No participan en el mercado laboral,12,24509,cuidados_thrs
No participan en el mercado laboral,13,6162,cuidados_thrs
No participan en el mercado laboral,14,33983,cuidados_thrs
No participan en el mercado laboral,15,14947,cuidados_thrs
No participan en el mercado laboral,16,26188,cuidados_thrs
No participan en el mercado laboral,17,19068,cuidados_thrs
No participan en el mercado laboral,18,6510,cuidados_thrs
No participan en el mercado laboral,19,8258,cuidados_thrs
No participan en el mercado laboral,20,17066,cuidados_thrs
No participan en el mercado laboral,21,22155,cuidados_thrs
No participan en el mercado laboral,22,19217,cuidados_thrs
No participan en el mercado laboral,23,31392,cuidados_thrs
No participan en el mercado laboral,24,14315,cuidados_thrs
No participan en el mercado laboral,25,12457,cuidados_thrs
No participan en el mercado laboral,26,16127,cuidados_thrs
No participan en el mercado laboral,27,11637,cuidados_thrs
No participan en el mercado laboral,28,22672,cuidados_thrs
No participan en el mercado laboral,29,11245,cuidados_thrs
No participan en el mercado laboral,30,26163,cuidados_thrs
No participan en el mercado laboral,31,12481,cuidados_thrs
No participan en el mercado laboral,32,13468,cuidados_thrs
No participan en el mercado laboral,33,13331,cuidados_thrs
No participan en el mercado laboral,34,11100,cuidados_thrs
No participan en el mercado laboral,35,14247,cuidados_thrs
No participan en el mercado laboral,36,14489,cuidados_thrs
No participan en el mercado laboral,37,21053,cuidados_thrs
No participan en el mercado laboral,38,16736,cuidados_thrs
No participan en el mercado laboral,39,10889,cuidados_thrs
No participan en el mercado laboral,40,17432,cuidados_thrs
No participan en el mercado laboral,41,6431,cuidados_thrs
No participan en el mercado laboral,42,19443,cuidados_thrs
No participan en el mercado laboral,43,13999,cuidados_thrs
No participan en el mercado laboral,44,14571,cuidados_thrs
No participan en el mercado laboral,45,13872,cuidados_thrs
No participan en el mercado laboral,46,9318,cuidados_thrs
No participan en el mercado laboral,47,7141,cuidados_thrs
No participan en el mercado laboral,48,10993,cuidados_thrs
No participan en el mercado laboral,49,8732,cuidados_thrs
No participan en el mercado laboral,50,12805,cuidados_thrs
No participan en el mercado laboral,51,11010,cuidados_thrs
No participan en el mercado laboral,52,8682,cuidados_thrs
No participan en el mercado laboral,53,6849,cuidados_thrs
No participan en el mercado laboral,54,7646,cuidados_thrs
No participan en el mercado laboral,55,2379,cuidados_thrs
No participan en el mercado laboral,56,12034,cuidados_thrs
No participan en el mercado laboral,57,6813,cuidados_thrs
No participan en el mercado laboral,58,11908,cuidados_thrs
No participan en el mercado laboral,59,9301,cuidados_thrs
No participan en el mercado laboral,60,6310,cuidados_thrs
No participan en el mercado laboral,61,8677,cuidados_thrs
No participan en el mercado laboral,62,3081,cuidados_thrs
No participan en el mercado laboral,63,4699,cuidados_thrs
No participan en el mercado laboral,64,4281,cuidados_thrs
No participan en el mercado laboral,65,5891,cuidados_thrs
No participan en el mercado laboral,66,4612,cuidados_thrs
No participan en el mercado laboral,67,1577,cuidados_thrs
No participan en el mercado laboral,68,2467,cuidados_thrs
No participan en el mercado laboral,69,4756,cuidados_thrs
No participan en el mercado laboral,70,3470,cuidados_thrs
No participan en el mercado laboral,71,4480,cuidados_thrs
No participan en el mercado laboral,72,3804,cuidados_thrs
No participan en el mercado laboral,73,2475,cuidados_thrs
No participan en el mercado laboral,74,2093,cuidados_thrs
No participan en el mercado laboral,75,3867,cuidados_thrs
No participan en el mercado laboral,76,3001,cuidados_thrs
No participan en el mercado laboral,77,5061,cuidados_thrs
No participan en el mercado laboral,78,1386,cuidados_thrs
No participan en el mercado laboral,79,3549,cuidados_thrs
No participan en el mercado laboral,80,3161,cuidados_thrs
No participan en el mercado laboral,81,420,cuidados_thrs
No participan en el mercado laboral,82,981,cuidados_thrs
No participan en el mercado laboral,83,1809,cuidados_thrs
No participan en el mercado laboral,84,3486,cuidados_thrs
No participan en el mercado laboral,85,3091,cuidados_thrs
No participan en el mercado laboral,86,1333,cuidados_thrs
No participan en el mercado laboral,87,812,cuidados_thrs
No participan en el mercado laboral,88,3358,cuidados_thrs
No participan en el mercado laboral,89,323,cuidados_thrs
No participan en el mercado laboral,90,1221,cuidados_thrs
No participan en el mercado laboral,91,1147,cuidados_thrs
No participan en el mercado laboral,92,1559,cuidados_thrs
No participan en el mercado laboral,93,2361,cuidados_thrs
No participan en el mercado laboral,94,2233,cuidados_thrs
No participan en el mercado laboral,95,191,cuidados_thrs
No participan en el mercado laboral,96,534,cuidados_thrs
No participan en el mercado laboral,97,555,cuidados_thrs
