group,ingocup,weights,income_perc,median
Hombres abogados,800,110,0,12950
Hombres abogados,900,59,0,12950
Hombres abogados,1000,187,0,12950
Hombres abogados,1300,113,0,12950
Hombres abogados,1600,162,0,12950
Hombres abogados,1720,94,0,12950
Hombres abogados,1800,119,0,12950
Hombres abogados,2000,2630,0.5,12950
Hombres abogados,2150,1336,0.3,12950
Hombres abogados,2250,198,0,12950
Hombres abogados,2500,496,0.1,12950
Hombres abogados,2600,37,0,12950
Hombres abogados,2720,232,0,12950
Hombres abogados,2950,532,0.1,12950
Hombres abogados,3000,3283,0.6,12950
Hombres abogados,3010,1495,0.3,12950
Hombres abogados,3225,78,0,12950
Hombres abogados,3400,106,0,12950
Hombres abogados,3440,606,0.1,12950
Hombres abogados,3500,224,0,12950
Hombres abogados,3600,343,0.1,12950
Hombres abogados,3746,138,0,12950
Hombres abogados,3800,85,0,12950
Hombres abogados,4000,4947,0.9,12950
Hombres abogados,4300,4714,0.9,12950
Hombres abogados,4400,662,0.1,12950
Hombres abogados,4500,915,0.2,12950
Hombres abogados,4600,196,0,12950
Hombres abogados,5000,15550,3,12950
Hombres abogados,5160,224,0,12950
Hombres abogados,5375,96,0,12950
Hombres abogados,5500,365,0.1,12950
Hombres abogados,5600,85,0,12950
Hombres abogados,5650,29,0,12950
Hombres abogados,5800,75,0,12950
Hombres abogados,6000,28615,5.4,12950
Hombres abogados,6223,415,0.1,12950
Hombres abogados,6400,727,0.1,12950
Hombres abogados,6450,5734,1.1,12950
Hombres abogados,6500,164,0,12950
Hombres abogados,6600,78,0,12950
Hombres abogados,6700,817,0.2,12950
Hombres abogados,6800,310,0.1,12950
Hombres abogados,6880,238,0,12950
Hombres abogados,7000,6085,1.2,12950
Hombres abogados,7200,82,0,12950
Hombres abogados,7400,446,0.1,12950
Hombres abogados,7500,80,0,12950
Hombres abogados,7600,770,0.1,12950
Hombres abogados,7740,943,0.2,12950
Hombres abogados,8000,23529,4.5,12950
Hombres abogados,8200,501,0.1,12950
Hombres abogados,8400,544,0.1,12950
Hombres abogados,8500,278,0.1,12950
Hombres abogados,8600,11226,2.1,12950
Hombres abogados,8946,49,0,12950
Hombres abogados,8950,208,0,12950
Hombres abogados,9000,12619,2.4,12950
Hombres abogados,9030,322,0.1,12950
Hombres abogados,9122,1104,0.2,12950
Hombres abogados,9200,633,0.1,12950
Hombres abogados,9400,458,0.1,12950
Hombres abogados,9460,111,0,12950
Hombres abogados,9500,514,0.1,12950
Hombres abogados,9600,831,0.2,12950
Hombres abogados,9690,113,0,12950
Hombres abogados,9700,56,0,12950
Hombres abogados,9800,760,0.1,12950
Hombres abogados,9890,548,0.1,12950
Hombres abogados,10000,61693,11.7,12950
Hombres abogados,10200,162,0,12950
Hombres abogados,10400,287,0.1,12950
Hombres abogados,10500,109,0,12950
Hombres abogados,10600,153,0,12950
Hombres abogados,10750,5633,1.1,12950
Hombres abogados,10800,174,0,12950
Hombres abogados,11000,1030,0.2,12950
Hombres abogados,11200,625,0.1,12950
Hombres abogados,11400,71,0,12950
Hombres abogados,11500,383,0.1,12950
Hombres abogados,11600,85,0,12950
Hombres abogados,11800,537,0.1,12950
Hombres abogados,12000,29071,5.5,12950
Hombres abogados,12200,138,0,12950
Hombres abogados,12400,258,0,12950
Hombres abogados,12500,1503,0.3,12950
Hombres abogados,12600,702,0.1,12950
Hombres abogados,12800,112,0,12950
Hombres abogados,12900,13820,2.6,12950
Hombres abogados,13000,14036,2.7,12950
Hombres abogados,13400,68,0,12950
Hombres abogados,13600,104,0,12950
Hombres abogados,13760,361,0.1,12950
Hombres abogados,13800,199,0,12950
Hombres abogados,14000,18836,3.6,12950
Hombres abogados,14600,21,0,12950
Hombres abogados,14800,402,0.1,12950
Hombres abogados,15000,27764,5.3,12950
Hombres abogados,15050,1364,0.3,12950
Hombres abogados,15700,157,0,12950
Hombres abogados,15800,162,0,12950
Hombres abogados,15910,49,0,12950
Hombres abogados,16000,25207,4.8,12950
Hombres abogados,16140,123,0,12950
Hombres abogados,16340,261,0,12950
Hombres abogados,17000,3306,0.6,12950
Hombres abogados,17200,7750,1.5,12950
Hombres abogados,17800,105,0,12950
Hombres abogados,18000,14003,2.7,12950
Hombres abogados,18400,51,0,12950
Hombres abogados,18500,215,0,12950
Hombres abogados,18800,751,0.1,12950
Hombres abogados,19000,1786,0.3,12950
Hombres abogados,19350,461,0.1,12950
Hombres abogados,19500,130,0,12950
Hombres abogados,19600,607,0.1,12950
Hombres abogados,20000,47399,9,12950
Hombres abogados,20003,48,0,12950
Hombres abogados,20600,74,0,12950
Hombres abogados,21000,1106,0.2,12950
Hombres abogados,21500,6706,1.3,12950
Hombres abogados,22000,4315,0.8,12950
Hombres abogados,23000,1360,0.3,12950
Hombres abogados,23200,320,0.1,12950
Hombres abogados,24000,8805,1.7,12950
Hombres abogados,25000,7115,1.4,12950
Hombres abogados,25800,3482,0.7,12950
Hombres abogados,26000,5662,1.1,12950
Hombres abogados,27000,401,0.1,12950
Hombres abogados,27950,52,0,12950
Hombres abogados,28000,3872,0.7,12950
Hombres abogados,29400,55,0,12950
Hombres abogados,30000,21415,4.1,12950
Hombres abogados,30100,1322,0.3,12950
Hombres abogados,32000,1721,0.3,12950
Hombres abogados,32250,105,0,12950
Hombres abogados,33000,186,0,12950
Hombres abogados,34000,1503,0.3,12950
Hombres abogados,34400,1812,0.3,12950
Hombres abogados,35000,1063,0.2,12950
Hombres abogados,36000,486,0.1,12950
Hombres abogados,36550,207,0,12950
Hombres abogados,38000,503,0.1,12950
Hombres abogados,38700,807,0.2,12950
Hombres abogados,40000,12005,2.3,12950
Hombres abogados,43000,1514,0.3,12950
Hombres abogados,44000,1295,0.2,12950
Hombres abogados,45000,249,0,12950
Hombres abogados,46000,80,0,12950
Hombres abogados,50000,5115,1,12950
Hombres abogados,56000,1216,0.2,12950
Hombres abogados,60000,2546,0.5,12950
Hombres abogados,64500,253,0,12950
Hombres abogados,70000,892,0.2,12950
Hombres abogados,80000,2992,0.6,12950
Hombres abogados,96000,41,0,12950
Hombres abogados,100000,863,0.2,12950
Hombres abogados,110000,109,0,12950
Hombres abogados,152000,129,0,12950
Mujeres abogadas,500,247,0.1,11900
Mujeres abogadas,700,413,0.1,11900
