sexo,edad,weights,educ,perc,type
hombre,21,1612401,lic_law,0.065,just_lic
hombre,21,1612401,lic_non_law,0.935,just_lic
hombre,22,1730876,lic_law,0.072,just_lic
hombre,22,1730876,lic_non_law,0.928,just_lic
hombre,23,1718582,lic_law,0.07,just_lic
hombre,23,1718582,lic_non_law,0.93,just_lic
hombre,24,1673684,lic_law,0.073,just_lic
hombre,24,1673684,lic_non_law,0.927,just_lic
hombre,25,1618190,lic_law,0.081,just_lic
hombre,25,1618190,lic_non_law,0.919,just_lic
hombre,26,1512149,lic_law,0.09,just_lic
hombre,26,1512149,lic_non_law,0.91,just_lic
hombre,27,1532147,lic_law,0.077,just_lic
hombre,27,1532147,lic_non_law,0.923,just_lic
hombre,28,1426793,lic_law,0.093,just_lic
hombre,28,1426793,lic_non_law,0.907,just_lic
hombre,29,1297039,lic_law,0.084,just_lic
hombre,29,1297039,lic_non_law,0.916,just_lic
hombre,30,1310943,lic_law,0.103,just_lic
hombre,30,1310943,lic_non_law,0.897,just_lic
hombre,31,1222281,lic_law,0.086,just_lic
hombre,31,1222281,lic_non_law,0.914,just_lic
hombre,32,1227833,lic_law,0.089,just_lic
hombre,32,1227833,lic_non_law,0.911,just_lic
hombre,33,1125537,lic_law,0.1,just_lic
hombre,33,1125537,lic_non_law,0.9,just_lic
hombre,34,1070338,lic_law,0.08,just_lic
hombre,34,1070338,lic_non_law,0.92,just_lic
hombre,35,1007369,lic_law,0.093,just_lic
hombre,35,1007369,lic_non_law,0.907,just_lic
hombre,36,995909,lic_law,0.101,just_lic
hombre,36,995909,lic_non_law,0.899,just_lic
hombre,37,961196,lic_law,0.097,just_lic
hombre,37,961196,lic_non_law,0.903,just_lic
hombre,38,902990,lic_law,0.113,just_lic
hombre,38,902990,lic_non_law,0.887,just_lic
hombre,39,894036,lic_law,0.117,just_lic
hombre,39,894036,lic_non_law,0.883,just_lic
hombre,40,1001303,lic_law,0.121,just_lic
hombre,40,1001303,lic_non_law,0.879,just_lic
hombre,41,928059,lic_law,0.092,just_lic
hombre,41,928059,lic_non_law,0.908,just_lic
hombre,42,803422,lic_law,0.097,just_lic
hombre,42,803422,lic_non_law,0.903,just_lic
hombre,43,809481,lic_law,0.114,just_lic
hombre,43,809481,lic_non_law,0.886,just_lic
hombre,44,659617,lic_law,0.096,just_lic
hombre,44,659617,lic_non_law,0.904,just_lic
hombre,45,759910,lic_law,0.115,just_lic
hombre,45,759910,lic_non_law,0.885,just_lic
hombre,46,731436,lic_law,0.106,just_lic
hombre,46,731436,lic_non_law,0.894,just_lic
hombre,47,721682,lic_law,0.107,just_lic
hombre,47,721682,lic_non_law,0.893,just_lic
hombre,48,677225,lic_law,0.126,just_lic
hombre,48,677225,lic_non_law,0.874,just_lic
hombre,49,598650,lic_law,0.109,just_lic
hombre,49,598650,lic_non_law,0.891,just_lic
hombre,50,683240,lic_law,0.116,just_lic
hombre,50,683240,lic_non_law,0.884,just_lic
hombre,51,645876,lic_law,0.102,just_lic
hombre,51,645876,lic_non_law,0.898,just_lic
hombre,52,621476,lic_law,0.108,just_lic
hombre,52,621476,lic_non_law,0.892,just_lic
hombre,53,572553,lic_law,0.121,just_lic
hombre,53,572553,lic_non_law,0.879,just_lic
hombre,54,606495,lic_law,0.099,just_lic
hombre,54,606495,lic_non_law,0.901,just_lic
hombre,55,618291,lic_law,0.106,just_lic
hombre,55,618291,lic_non_law,0.894,just_lic
hombre,56,577590,lic_law,0.09,just_lic
hombre,56,577590,lic_non_law,0.91,just_lic
hombre,57,556818,lic_law,0.068,just_lic
hombre,57,556818,lic_non_law,0.932,just_lic
