grupo_edad,sexo,sum_fac,min_year,max_year,perc,edad_midpoint
"[20,25)",Hombres,473254,2018,2023,0.46,22
"[20,25)",Mujeres,554796,2018,2023,0.54,22
"[25,30)",Hombres,626918,2018,2023,0.512,27
"[25,30)",Mujeres,598076,2018,2023,0.488,27
"[30,35)",Hombres,549085,2018,2023,0.523,32
"[30,35)",Mujeres,501251,2018,2023,0.477,32
"[35,40)",Hombres,494594,2018,2023,0.498,37
"[35,40)",Mujeres,498105,2018,2023,0.502,37
"[40,45)",Hombres,439959,2018,2023,0.51,42
"[40,45)",Mujeres,423287,2018,2023,0.49,42
"[45,50)",Hombres,393209,2018,2023,0.536,47
"[45,50)",Mujeres,340866,2018,2023,0.464,47
"[50,55)",Hombres,342268,2018,2023,0.598,52
"[50,55)",Mujeres,229727,2018,2023,0.402,52
"[55,60)",Hombres,261300,2018,2023,0.641,57
"[55,60)",Mujeres,146227,2018,2023,0.359,57
"[60,65)",Hombres,230132,2018,2023,0.681,62
"[60,65)",Mujeres,107565,2018,2023,0.319,62
"[65,70)",Hombres,145255,2018,2023,0.718,67
"[65,70)",Mujeres,57175,2018,2023,0.282,67
"[70,75)",Hombres,100825,2018,2023,0.82,72
"[70,75)",Mujeres,22059,2018,2023,0.18,72
"[75,80)",Hombres,78620,2018,2023,0.908,77
"[75,80)",Mujeres,7973,2018,2023,0.092,77
