carreras_de_interes,sexo,perc_pea,count,margin_error
Administración,Hombres,0.83,16445,0.00481850673394039
Administración,Mujeres,0.656,21251,0.0053605253928960105
Derecho,Hombres,0.825,14572,0.005177884034566496
Derecho,Mujeres,0.688,13186,0.006637138536133131
Educación,Hombres,0.757,8251,0.007767185642191555
Educación,Mujeres,0.563,25420,0.005117679038408449
Enfermería,Hombres,0.825,1276,0.017497925523595942
Enfermería,Mujeres,0.616,6547,0.00988782337561596
Ingeniería,Hombres,0.801,15361,0.005299061427575197
Ingeniería,Mujeres,0.643,3442,0.013433836670361092
Medicina,Hombres,0.671,1844,0.017998845663380978
Medicina,Mujeres,0.536,1751,0.0196048811740364
General,Hombres,0.819,608630,8.11840032475825e-4
General,Mujeres,0.471,694803,9.850841909570343e-4
